Suggested Negative,Triggered Keyword,Campaign,Ad Group,How It Matched,Impressions,Clicks,Cost,CPC,Keyword Regs,Reason
cleaning supplies wholesale,[bulk cleaning],AU_Generic_P-V_Janitorial,Products_Bulk_Exact,Exact match (close variant),7,2,20.21,10.11,0,Close variant leakage on zero-reg keyword
sunglasses manufacturer,"""sunglasses suppliers""",AU_Generic_P-V_Apparel,Swimwear_Wholesales_Phrase_Phrase,Phrase match (close variant),5,2,20.17,10.09,0,Close variant leakage on zero-reg keyword
marshmallow wholesale,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),1,2,20.1,10.05,0,Close variant leakage on zero-reg keyword
cheap business cards,"""business cards vendor""",AU_Generic,Office Supplies_Phrase,Phrase match (close variant),15,3,20.0,6.67,0,Close variant leakage on zero-reg keyword
bulk bubble wrap,"""bulk packaging""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),15,3,19.98,6.66,0,Close variant leakage on zero-reg keyword
bulk shopping,[bulk suppliers],AU_Generic,Bulk_Suppliers_Exact,Exact match (close variant),20,2,19.76,9.88,0,Close variant leakage on zero-reg keyword
school supplies in bulk,"""bulk goods""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),1,2,19.74,9.87,0,Close variant leakage on zero-reg keyword
wholesale chocolate eggs,"""wholesale chocolate""",AU_Generic_P-V_Food,Food_Wholesale_Phrase,Phrase match,4,2,19.64,9.82,0,Review — low relevance signal
bulk socks,[bulk socks],AU_Generic_P-V_Apparel,Hosiery & Socks_Bulk_Exact,Exact match,13,3,19.58,6.53,0,Review — low relevance signal
commercial cleaning supplies,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),27,4,19.52,4.88,0,Close variant leakage on zero-reg keyword
active wear suppliers,"""sportswear suppliers""",AU_Generic_P-V_Apparel,Sportware_Suppliers_Phrase,Exact match (close variant),10,2,19.51,9.76,0,Close variant leakage on zero-reg keyword
wholesales,[wholesaler],AU_Generic,Wholesalers_Exact,Exact match (close variant),9,2,19.46,9.73,0,Close variant leakage on zero-reg keyword
bulk hand sanitiser,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),25,2,19.43,9.72,0,Close variant leakage on zero-reg keyword
wholesale canned food,[wholesale canned food],AU_Generic_P-V_Food,Food_Wholesale_Exact,Exact match,8,3,19.41,6.47,0,Review — low relevance signal
dropshipping suppliers,"""suppliers companies""",AU_Generic,Suppliers_Enterprises_Phrase,Phrase match (close variant),44,3,19.37,6.46,0,Close variant leakage on zero-reg keyword
bulk buy baking soda,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),1,2,19.32,9.66,0,Close variant leakage on zero-reg keyword
bulk chocolate melbourne,"""bulk chocolate""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match,11,4,19.3,4.83,0,Review — low relevance signal
wholesale suppliers for small business,"""b2b products""",AU_Generic,B2B_Products_Phrase,Phrase match (close variant),4,2,19.29,9.65,0,Close variant leakage on zero-reg keyword
wholesale lighting suppliers,"""wholesale purchases""",AU_Generic,Wholesales_Buy_Phrase,Phrase match (close variant),4,2,19.2,9.6,0,Close variant leakage on zero-reg keyword
bulk plastic bottles,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),5,2,19.06,9.53,0,Close variant leakage on zero-reg keyword
disposable cameras bulk,[wholesale disposable cameras],AU_Generic_P-V_Electronics,Camera-Accessories_Wholesale_Exact,Exact match (close variant),6,2,19.01,9.51,0,Close variant leakage on zero-reg keyword
wholesale t shirts,"""clothing wholesalers""",AU_Generic_P-V_Shops,Wholesale_Clothing,Phrase match (close variant),39,2,19.0,9.5,0,Close variant leakage on zero-reg keyword
energy drink wholesale,"""wholesale drinks""",AU_Generic_P-V_Food,Food_Wholesale_Phrase,Phrase match,3,3,18.91,6.3,0,Review — low relevance signal
bulk easter chocolate,"""bulk easter sweets""",AU_Generic_P-V_Food,Sweets_Bulk_Phrase,Phrase match (close variant),30,6,18.89,3.15,0,Close variant leakage on zero-reg keyword
wholesale hoodies australia,"""clothing wholesalers""",AU_Generic_P-V_Shops,Wholesale_Clothing,Phrase match (close variant),10,2,18.83,9.41,0,Close variant leakage on zero-reg keyword
wholesale chocolate suppliers australia,"""wholesale chocolate""",AU_Generic_P-V_Food,Food_Wholesale_Phrase,Phrase match,16,3,18.83,6.28,0,Review — low relevance signal
airbnb supplies wholesale,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),4,3,18.82,6.27,0,Close variant leakage on zero-reg keyword
business card,[business cards],AU_Generic,Office Supplies_Exact,Exact match (close variant),59,2,18.79,9.4,0,Close variant leakage on zero-reg keyword
laundry detergent wholesale distributors,"""detergent supplier""",AU_Generic_P-V_Janitorial,Detergent_Supplier_Phrase,Phrase match (close variant),2,2,18.74,9.37,0,Close variant leakage on zero-reg keyword
wholesale groceries,[food wholesale market],AU_Generic_P-V_Food,Wholesales_Food_Exact,Exact match (close variant),27,6,18.73,3.12,0,Close variant leakage on zero-reg keyword
bulk buy easter eggs,[easter egg bulk buy],AU_Generic_P-V_Food,Sweets_Bulk_Exact,Exact match (close variant),18,4,18.73,4.68,0,Close variant leakage on zero-reg keyword
buying business,"""companies business""",AU_Generic,Enterprises_Shop_Phrase,Phrase match (close variant),6,2,18.66,9.33,0,Close variant leakage on zero-reg keyword
desk organisation,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),33,4,18.64,4.66,0,Close variant leakage on zero-reg keyword
mop soap australia,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),9,4,18.59,4.65,0,Close variant leakage on zero-reg keyword
wholesale drinks,[wholesale drinks],AU_Generic_P-V_Food,Food_Wholesale_Exact,Exact match,30,7,18.49,2.64,0,"Multiple clicks, zero-reg keyword"
wholesale dry goods,"""suppliers products""",AU_Generic,Suppliers_Products_Phrase,Phrase match (close variant),1,2,18.28,9.14,0,Close variant leakage on zero-reg keyword
toilet paper bulk,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),9,3,18.26,6.09,0,Close variant leakage on zero-reg keyword
toilet paper bulk,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),9,3,18.26,6.09,0,Close variant leakage on zero-reg keyword
cheap promotional products australia,"""items for companies""",AU_Generic,Enterprises_Products_Phrase,Phrase match (close variant),2,2,18.22,9.11,0,Close variant leakage on zero-reg keyword
baby wipes wholesale,"""wipes supplier""",AU_Generic_P-V_Janitorial,Tools_Supplier_Phrase,Phrase match (close variant),2,2,18.21,9.11,0,Close variant leakage on zero-reg keyword
wholesale cleaning products,[bulk cleaning],AU_Generic_P-V_Janitorial,Products_Bulk_Exact,Exact match (close variant),31,2,18.19,9.1,0,Close variant leakage on zero-reg keyword
bulk shopping online australia,"""bulk seller""",AU_Generic,Bulk_Sellers_Phrase,Phrase match (close variant),3,2,18.16,9.08,0,Close variant leakage on zero-reg keyword
v energy drink wholesale australia,"""drinks wholesalers""",AU_Generic_P-V_Food,Food_Wholesalers_Phrase,Phrase match,6,3,18.12,6.04,0,Review — low relevance signal
bulk easter eggs australia,"""bulk easter sweets""",AU_Generic_P-V_Food,Sweets_Bulk_Phrase,Phrase match (close variant),21,4,18.12,4.53,0,Close variant leakage on zero-reg keyword
bulk clothing suppliers,[clothing bulk],AU_Generic_P-V_Shops,Clothing_Bulk_Exact,Exact match (close variant),18,3,18.08,6.03,0,Close variant leakage on zero-reg keyword
bulk paper bags,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),24,3,18.05,6.02,0,Close variant leakage on zero-reg keyword
bulk paper bags,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),24,3,18.05,6.02,0,Close variant leakage on zero-reg keyword
cheap bulk snacks,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),3,2,18.05,9.03,0,Close variant leakage on zero-reg keyword
ferrero rocher wholesale,"""wholesale chocolate""",AU_Generic_P-V_Food,Food_Wholesale_Phrase,Phrase match (close variant),3,2,17.97,8.99,0,Close variant leakage on zero-reg keyword
cheap bulk groceries online australia,"""bulk foods""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match (close variant),46,8,17.97,2.25,0,Close variant leakage on zero-reg keyword
custom paper bags with logo wholesale,"""bags distributors""",AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,Phrase match (close variant),9,4,17.95,4.49,0,Close variant leakage on zero-reg keyword
office desk accessories,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Exact match (close variant),11,3,17.87,5.96,0,Close variant leakage on zero-reg keyword
airbnb supplies wholesale,"""bulk distributor""",AU_Generic,Bulk_Distributors_Phrase,Phrase match (close variant),3,2,17.85,8.93,0,Close variant leakage on zero-reg keyword
filing cabinet,"""home office products""",AU_Generic_P-V_Office,Home-Office_Phrase,Phrase match (close variant),58,5,17.83,3.57,0,Close variant leakage on zero-reg keyword
wholesale fabric,[fabric wholesale],AU_Generic_P-V_Materials,Wholesales_Textiles_Exact,Exact match (close variant),10,3,17.79,5.93,0,Close variant leakage on zero-reg keyword
bulk chairs,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),12,3,17.65,5.88,0,Close variant leakage on zero-reg keyword
wholesale clothing australia,"""clothing wholesalers""",AU_Generic_P-V_Shops,Wholesale_Clothing,Phrase match,13,3,17.57,5.86,0,Review — low relevance signal
silk flowers wholesale,"""wholesale florist""",AU_Generic_P-V_Shops,Florist_Wholesale_Phrase,Phrase match (close variant),8,3,17.51,5.84,0,Close variant leakage on zero-reg keyword
reception desk,"""office supplies""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),73,6,17.49,2.91,0,Close variant leakage on zero-reg keyword
oates contractor mop,"""industrial cleaning products""",AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,Phrase match (close variant),3,3,17.43,5.81,0,Close variant leakage on zero-reg keyword
la strada clothing wholesale online,"""wholesale casual""",AU_Generic_P-V_Apparel,Dresses_Wholesales_Phrase,Phrase match (close variant),16,5,17.42,3.48,0,Close variant leakage on zero-reg keyword
wholesale baby clothes suppliers australia,"""baby clothing sets suppliers""",AU_Generic_P-V_Apparel,Accessories Baby_Suppliers_Phrase,Phrase match (close variant),16,5,17.39,3.48,0,Close variant leakage on zero-reg keyword
cheap bulk clothing,"""purchasing bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),1,2,17.37,8.69,0,Close variant leakage on zero-reg keyword
food storage wholesale,"""bulk packaging""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),1,2,17.32,8.66,0,Close variant leakage on zero-reg keyword
drinks in bulk,"""buy bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),2,2,17.28,8.64,0,Close variant leakage on zero-reg keyword
wholesale vodka,[wholesale vodka],AU_Generic_P-V_Food,Drinks_Wholesale_Exact,Exact match,5,2,17.25,8.63,0,Review — low relevance signal
magnetic business cards,"""business cards online""",AU_Generic_P-V_Office,Office-Supplies_Phrase,Phrase match (close variant),14,3,17.23,5.74,0,Close variant leakage on zero-reg keyword
wholesale glass bottles australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match (close variant),6,2,17.19,8.6,0,Close variant leakage on zero-reg keyword
blank clothing wholesale australia,"""clothing bulk""",AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,Phrase match (close variant),15,3,17.18,5.73,0,Close variant leakage on zero-reg keyword
facial tissue bulk,"""tissue paper distributor""",AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,Phrase match (close variant),8,2,17.16,8.58,0,Close variant leakage on zero-reg keyword
guest amenities suppliers,"""hotel accessories""",AU_Generic_P-V_Hospitality,Products_Phrase,Phrase match (close variant),3,2,17.12,8.56,0,Close variant leakage on zero-reg keyword
takeaway containers bulk,[wholesale take out containers],AU_Generic_P-V_Food,Kitchen Tools_Wholesale_Exact,Exact match (close variant),8,2,17.08,8.54,0,Close variant leakage on zero-reg keyword
wholesale monster energy,"""beverages wholesale""",AU_Generic_P-V_Food,Wholesales_Food_Phrase,Phrase match (close variant),2,2,17.05,8.53,0,Close variant leakage on zero-reg keyword
tissue bulk buy,"""wholesale tissues""",AU_Generic_P-V_Janitorial,Paper_Wholesale_Phrase,Exact match (close variant),1,2,17.04,8.52,0,Close variant leakage on zero-reg keyword
bulk food australia,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),12,2,17.02,8.51,0,Close variant leakage on zero-reg keyword
take away containers,[commercial take out containers],AU_Generic_P-V_Food,Kitchen Tools_Exact,Exact match (close variant),59,6,17.01,2.84,0,Close variant leakage on zero-reg keyword
amazon e commerce,"""online shop for companies""",AU_Generic,Enterprises_Shop_Phrase,Phrase match (close variant),2,2,17.01,8.51,0,Close variant leakage on zero-reg keyword
napkins in bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),2,2,16.98,8.49,0,Close variant leakage on zero-reg keyword
desk mat,"""home office products""",AU_Generic_P-V_Office,Home-Office_Phrase,Phrase match (close variant),55,3,16.95,5.65,0,Close variant leakage on zero-reg keyword
altenew wholesale,"""wholesale purchases""",AU_Generic,Wholesales_Buy_Phrase,Phrase match (close variant),1,2,16.94,8.47,0,Close variant leakage on zero-reg keyword
amazon courier franchise cost,"""amazon business cost""",AU_Brand_Phrase,Pure_ Phrase,Phrase match (close variant),2,2,16.93,8.47,0,Close variant leakage on zero-reg keyword
lindt wholesale australia,"""wholesale chocolate""",AU_Generic_P-V_Food,Food_Wholesale_Phrase,Phrase match (close variant),4,2,16.92,8.46,0,Close variant leakage on zero-reg keyword
activewear manufacturer australia,"""sportswear suppliers""",AU_Generic_P-V_Apparel,Sportware_Suppliers_Phrase,Phrase match (close variant),13,2,16.92,8.46,0,Close variant leakage on zero-reg keyword
shopify alternatives,"""online shop for companies""",AU_Generic,Enterprises_Shop_Phrase,Phrase match (close variant),32,3,16.91,5.64,0,Close variant leakage on zero-reg keyword
bulk napkins,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),15,3,16.91,5.64,0,Close variant leakage on zero-reg keyword
bulk napkins,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),15,3,16.91,5.64,0,Close variant leakage on zero-reg keyword
bulk tables and chairs,"""buy bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),1,2,16.9,8.45,0,Close variant leakage on zero-reg keyword
best dropshipping suppliers australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match (close variant),17,3,16.81,5.6,0,Close variant leakage on zero-reg keyword
toilet paper in bulk,"""wholesale toilet paper""",AU_Generic_P-V_Janitorial,Paper_Wholesale_Phrase,Exact match (close variant),17,2,16.8,8.4,0,Close variant leakage on zero-reg keyword
dropshipping suppliers australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match (close variant),39,2,16.78,8.39,0,Close variant leakage on zero-reg keyword
yarn in bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),1,2,16.76,8.38,0,Close variant leakage on zero-reg keyword
hand sanitiser bulk buy,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),12,2,16.76,8.38,0,Close variant leakage on zero-reg keyword
bulk dishwashing tablets,"""bulk cleaning""",AU_Generic_P-V_Janitorial,Products_Bulk_Phrase,Phrase match (close variant),16,2,16.74,8.37,0,Close variant leakage on zero-reg keyword
wholesale books,[book wholesalers],AU_Generic_P-V_Shops,Wholesalers_Books Shop,Exact match (close variant),13,3,16.69,5.56,0,Close variant leakage on zero-reg keyword
kay sink sanitizer,"""industrial cleaning products""",AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,Phrase match (close variant),1,2,16.68,8.34,0,Close variant leakage on zero-reg keyword
bulk buy pet supplies,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Exact match (close variant),2,2,16.68,8.34,0,Close variant leakage on zero-reg keyword
amazon business account login,[amazon business account login],AU_Brand_Exact,Navigation_Exact,Exact match,46,14,16.68,1.19,0,"Multiple clicks, zero-reg keyword"
cheap bulk buys australia,"""purchasing bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),8,2,16.64,8.32,0,Close variant leakage on zero-reg keyword
wholesale perfume,[bulk fragrance],AU_Generic_P-V_Beauty,Fragrance_Bulk_Exact,Exact match (close variant),12,4,16.63,4.16,0,Close variant leakage on zero-reg keyword
cleaning wholesale supplies,[bulk cleaning],AU_Generic_P-V_Janitorial,Products_Bulk_Exact,Exact match (close variant),15,2,16.58,8.29,0,Close variant leakage on zero-reg keyword
bulk detergent,[bulk detergent],AU_Generic_P-V_Janitorial,Detergent_Bulk_Exact,Exact match,11,2,16.57,8.29,0,Review — low relevance signal
bulk buy nuts and seeds,"""bulk seeds""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match,1,2,16.54,8.27,0,Review — low relevance signal
best wholesale clothing suppliers australia,"""clothing bulk""",AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,Phrase match (close variant),26,3,16.53,5.51,0,Close variant leakage on zero-reg keyword
bulk suppliers australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match (close variant),2,2,16.5,8.25,0,Close variant leakage on zero-reg keyword
bulk hydrogen peroxide,[bulk hydrogen peroxide],AU_Generic_P-V_Beauty,Hair-Appliances_Bulk_Exact,Exact match,14,2,16.5,8.25,0,Review — low relevance signal
kids plain tshirt wholesale,"""wholesale casual""",AU_Generic_P-V_Apparel,Dresses_Wholesales_Phrase,Phrase match (close variant),1,2,16.5,8.25,0,Close variant leakage on zero-reg keyword
deb suprega plus hand cleaner 4l,"""industrial cleaning products""",AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,Phrase match (close variant),14,2,16.42,8.21,0,Close variant leakage on zero-reg keyword
bulk jumpers,"""sweaters distributors""",AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,Phrase match (close variant),6,3,16.39,5.46,0,Close variant leakage on zero-reg keyword
oxo wholesale,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),2,2,16.38,8.19,0,Close variant leakage on zero-reg keyword
bulk t shirts,"""shirts distributors""",AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,Phrase match (close variant),37,4,16.36,4.09,0,Close variant leakage on zero-reg keyword
bulk chocolate,[bulk chocolate],AU_Generic_P-V_Food,Food_Bulk_Exact,Exact match,52,5,16.3,3.26,0,"Multiple clicks, zero-reg keyword"
b2b website,"""b2b products""",AU_Generic,B2B_Products_Phrase,Phrase match (close variant),8,2,16.26,8.13,0,Close variant leakage on zero-reg keyword
bulk wrapping paper roll,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),6,2,16.23,8.12,0,Close variant leakage on zero-reg keyword
shirt wholesale,"""t-shirts suppliers""",AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,Phrase match (close variant),3,3,16.22,5.41,0,Close variant leakage on zero-reg keyword
best place to buy bulk food online australia,"""purchasing bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),12,3,16.2,5.4,0,Close variant leakage on zero-reg keyword
bulk washing powder,"""bulk laundry supplies""",AU_Generic_P-V_Janitorial,Industrial-Chemicals_Bulk_Phrase,Phrase match (close variant),30,2,16.15,8.07,0,Close variant leakage on zero-reg keyword
wholesale biscuits,[wholesale biscuits],AU_Generic_P-V_Food,Food_Wholesale_Exact,Exact match,6,3,16.11,5.37,0,Review — low relevance signal
bulk flour 20kg,"""bulk goods""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),8,2,16.11,8.06,0,Close variant leakage on zero-reg keyword
wholesale activewear suppliers australia,"""wholesale sportswear""",AU_Generic_P-V_Apparel,Sportware_Wholesales_Phrase,Phrase match (close variant),9,2,16.1,8.05,0,Close variant leakage on zero-reg keyword
cleaning supplies melbourne,"""cleaning distributors""",AU_Generic_P-V_Janitorial,Distributors_Phrase,Phrase match (close variant),5,2,16.09,8.05,0,Close variant leakage on zero-reg keyword
bulk food containers,"""bulk packaging""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),2,2,16.08,8.04,0,Close variant leakage on zero-reg keyword
for all cleaning,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),46,3,16.08,5.36,0,Close variant leakage on zero-reg keyword
gift boxes wholesale australia,"""gift wholesaler""",AU_Generic_P-V_Shops,Wholesalers_Gifts_Phrase,Phrase match (close variant),4,3,16.04,5.35,0,Close variant leakage on zero-reg keyword
sugarcane straws wholesale,"""bulk straws""",AU_Generic_P-V_Food,Barware_Bulk_Phrase,Phrase match (close variant),2,2,16.0,8.0,0,Close variant leakage on zero-reg keyword
suppliers in australia,"""other suppliers""",AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,Phrase match (close variant),15,3,15.92,5.31,0,Close variant leakage on zero-reg keyword
bulk spices australia,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),16,3,15.9,5.3,0,Close variant leakage on zero-reg keyword
jiffy shirts australia,"""shirts distributors""",AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,Phrase match (close variant),7,4,15.84,3.96,0,Close variant leakage on zero-reg keyword
paper plates bulk,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),29,3,15.83,5.28,0,Close variant leakage on zero-reg keyword
paper plates bulk,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),29,3,15.83,5.28,0,Close variant leakage on zero-reg keyword
bulk buying australia,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),4,2,15.82,7.91,0,Close variant leakage on zero-reg keyword
hand cream bulk,"""bulk moisturizer""",AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,Phrase match (close variant),7,2,15.82,7.91,0,Close variant leakage on zero-reg keyword
florist supplies wholesale australia,"""wholesale florist""",AU_Generic_P-V_Shops,Florist_Wholesale_Phrase,Phrase match,13,3,15.78,5.26,0,Review — low relevance signal
viraclean online,"""industrial cleaning products""",AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,Phrase match (close variant),6,2,15.78,7.89,0,Close variant leakage on zero-reg keyword
candle wax bulk,"""bulk waxing""",AU_Generic_P-V_Beauty,Hair-Removal_Bulk_Phrase,Phrase match,6,3,15.77,5.26,0,Review — low relevance signal
bulk flower seeds,"""bulk seeds""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match,5,2,15.76,7.88,0,Review — low relevance signal
bulk cleaning vinegar,"""bulk cleaning""",AU_Generic_P-V_Janitorial,Products_Bulk_Phrase,Phrase match,20,2,15.73,7.87,0,Review — low relevance signal
furniture stores,[store furniture],AU_Generic_P-V_Shops,Furniture_Exact,Exact match (close variant),12,3,15.72,5.24,0,Close variant leakage on zero-reg keyword
bulk potato flour,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),2,2,15.7,7.85,0,Close variant leakage on zero-reg keyword
quinoa bulk buy australia,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),3,2,15.7,7.85,0,Close variant leakage on zero-reg keyword
blank t shirts wholesale australia,"""t-shirts suppliers""",AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,Phrase match (close variant),32,3,15.63,5.21,0,Close variant leakage on zero-reg keyword
bulk buy,"""products in large quantities""",AU_Generic,Bulk_Products_Phrase,Exact match (close variant),13,3,15.61,5.2,0,Close variant leakage on zero-reg keyword
wholesale showbags,"""bags distributors""",AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,Phrase match (close variant),20,3,15.59,5.2,0,Close variant leakage on zero-reg keyword
custom grip socks manufacturer,"""socks suppliers""",AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,Phrase match (close variant),2,2,15.56,7.78,0,Close variant leakage on zero-reg keyword
company for sale australia,"""companies business""",AU_Generic,Enterprises_Shop_Phrase,Phrase match (close variant),3,2,15.53,7.77,0,Close variant leakage on zero-reg keyword
order business cards,[business cards vendor],AU_Generic_P-V_Office,Office-Supplies_Exact,Exact match (close variant),4,2,15.49,7.75,0,Close variant leakage on zero-reg keyword
under desk cable tray,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),21,3,15.44,5.15,0,Close variant leakage on zero-reg keyword
blank clothing suppliers australia,"""clothing bulk""",AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,Phrase match (close variant),7,3,15.42,5.14,0,Close variant leakage on zero-reg keyword
wholesale t shirts,[t-shirts distributors],AU_Generic_P-V_Apparel,Tops_Distributors_Exact,Exact match (close variant),11,3,15.36,5.12,0,Close variant leakage on zero-reg keyword
coffee machine for sale,[coffee machines sellers],AU_Generic_P-V_Food,Coffee Machines_Sellers_Exact,Exact match (close variant),5,2,15.34,7.67,0,Close variant leakage on zero-reg keyword
bulk keyrings australia,"""bulk accessories""",AU_Generic_P-V_Shops,Accessories_Bulk_Phrase,Phrase match (close variant),3,2,15.33,7.67,0,Close variant leakage on zero-reg keyword
wholesale nutritional supplement distributors,"""suppliers products""",AU_Generic,Suppliers_Products_Phrase,Phrase match (close variant),4,2,15.32,7.66,0,Close variant leakage on zero-reg keyword
wholesale confectionery,[sweet shop bulk],AU_Generic_P-V_Food,Sweets_Bulk_Exact,Exact match (close variant),18,3,15.31,5.1,0,Close variant leakage on zero-reg keyword
amazon business prime cost,[amazon business prime cost],AU_Brand_Exact,Prime_Exact,Exact match,15,2,15.22,7.61,0,Review — low relevance signal
amazon business sign in,[amazon business sign in],AU_Brand_Exact,Navigation_Exact,Exact match,48,10,15.19,1.52,0,"Multiple clicks, zero-reg keyword"
bulk buying for resale australia,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),3,2,15.18,7.59,0,Close variant leakage on zero-reg keyword
wholesale dog toys australia,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Phrase match (close variant),4,3,15.15,5.05,0,Close variant leakage on zero-reg keyword
pro cleaning products,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match,72,3,15.09,5.03,0,Review — low relevance signal
hamper boxes wholesale,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),5,3,15.08,5.03,0,Close variant leakage on zero-reg keyword
bulk shampoo and conditioner for airbnb,"""bulk shampoo""",AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Phrase,Phrase match,13,4,15.02,3.76,0,Review — low relevance signal
bulk laundry liquid,"""detergent distributor""",AU_Generic_P-V_Janitorial,Detergent_Distributor_Phrase,Phrase match (close variant),14,3,14.99,5.0,0,Close variant leakage on zero-reg keyword
office chairs,"""office products""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),38,2,14.98,7.49,0,Close variant leakage on zero-reg keyword
wholesale clothing,[wholesale clothing],AU_Generic,Wholesale_Exact,Exact match,9,2,14.98,7.49,0,Review — low relevance signal
t shirt suppliers,[shirts suppliers],AU_Generic_P-V_Apparel,Tops_Suppliers_Exact,Exact match (close variant),9,2,14.95,7.48,0,Close variant leakage on zero-reg keyword
pigs ears for dogs bulk,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Phrase match (close variant),33,3,14.94,4.98,0,Close variant leakage on zero-reg keyword
