Suggested Negative,Triggered Keyword,Campaign,Ad Group,How It Matched,Impressions,Clicks,Cost,CPC,Keyword Regs,Reason
ventas a mayoreo,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),3,2,5.44,2.72,0,Close variant leakage on zero-reg keyword
proveedor de gorras,[distribuidores de gorras],MX - Apparel,Accessories_Distributor_Exact,Exact match (close variant),25,7,5.4,0.77,0,Close variant leakage on zero-reg keyword
venta de calzado directo de fábrica,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),8,3,5.4,1.8,0,Close variant leakage on zero-reg keyword
proveedor de productos de belleza,[productos de belleza al por mayor],MX - Beauty,Makeup_Wholesale_Exact,Exact match (close variant),8,2,5.39,2.7,0,Close variant leakage on zero-reg keyword
papeleria de mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),12,2,5.39,2.7,0,Close variant leakage on zero-reg keyword
articulos de papeleria,[accesorios de papelería],MX - Office,Generic_Exact,Exact match (close variant),28,3,5.3,1.77,0,Close variant leakage on zero-reg keyword
amazon com mx descargar factura,"""amazon com mx factura""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),13,3,5.26,1.75,0,Close variant leakage on zero-reg keyword
periqueras para bar,"""muebles para bar""",MX - Food,Furniture_Restaurant_Phrase,Phrase match (close variant),8,3,5.19,1.73,0,Close variant leakage on zero-reg keyword
donde comprar tenis g5 por mayoreo,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),19,3,5.16,1.72,0,Close variant leakage on zero-reg keyword
bocinas chinas por mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),2,2,5.1,2.55,0,Close variant leakage on zero-reg keyword
como comprar tenis originales por mayoreo,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),1,2,5.08,2.54,0,Close variant leakage on zero-reg keyword
accesorios para telefonos mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),4,2,5.08,2.54,0,Close variant leakage on zero-reg keyword
proveedores de abarrotes por mayoreo en méxico,"""distribuidor para empresas""",MX - Generic,Distributors_Enterprises_Phrase,Phrase match (close variant),3,2,5.02,2.51,0,Close variant leakage on zero-reg keyword
hoodies essentials mayoreo,"""distribuidores de sudaderas""",MX - Apparel,Tops_Distributor_Phrase,Phrase match (close variant),3,3,5.01,1.67,0,Close variant leakage on zero-reg keyword
donde comprar tenis originales por mayoreo,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),2,2,5.0,2.5,0,Close variant leakage on zero-reg keyword
sandalias por mayoreo,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),4,2,4.96,2.48,0,Close variant leakage on zero-reg keyword
parrilla de gas para negocio,"""tienda de hostelería""",MX - Food,Shop_Phrase,Phrase match (close variant),8,4,4.96,1.24,0,Close variant leakage on zero-reg keyword
productos de limpieza mayoreo,[mayoristas de artículos de limpieza],MX - Janitorial,Wholesalers_Exact,Exact match (close variant),38,4,4.95,1.24,0,Close variant leakage on zero-reg keyword
articulos de papeleria,[material papelería],MX - Office,Products_Exact,Exact match (close variant),39,2,4.95,2.48,0,Close variant leakage on zero-reg keyword
articulos de papeleria por mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),12,3,4.95,1.65,0,Close variant leakage on zero-reg keyword
tintes mayoreo,"""mayorista de productos para el cabello""",MX - Beauty,Hair Styling_Wholesale_Phrase,Phrase match (close variant),3,2,4.94,2.47,0,Close variant leakage on zero-reg keyword
sudaderas por mayoreo,[comprar sudaderas al por mayor],MX - Apparel,Tops_Wholesales_Exact,Exact match (close variant),22,5,4.92,0.98,0,Close variant leakage on zero-reg keyword
factura en amazon,"""factura en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,25,2,4.91,2.46,0,Review — zero-reg keyword spend
escritorios ejecutivos de lujo,"""escritorio ejecutivo""",MX - Office,Office Furniture_Exact,Phrase match,5,3,4.9,1.63,0,Review — zero-reg keyword spend
tote bag mayoreo,"""bolsas de tela al por mayor""",MX - Apparel,Accessories_Wholesales_Phrase,Phrase match (close variant),12,4,4.9,1.23,0,Close variant leakage on zero-reg keyword
cosas por mayoreo,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),7,2,4.89,2.44,0,Close variant leakage on zero-reg keyword
proveedores papeleria,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),15,2,4.84,2.42,0,Close variant leakage on zero-reg keyword
cómo hacer una tienda en línea,"""tienda online para negocios""",MX - Generic,Enterprises_Shop_Phrase,Phrase match (close variant),10,3,4.83,1.61,0,Close variant leakage on zero-reg keyword
proveedor de papeleria,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),38,2,4.83,2.42,0,Close variant leakage on zero-reg keyword
gorras originales mayoreo,"""venta mayorista de accesorios de moda""",MX - Shops,Shops_Wholesales_Accessories_Phrase,Phrase match (close variant),4,2,4.79,2.4,0,Close variant leakage on zero-reg keyword
mayoreo airpods,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),7,2,4.66,2.33,0,Close variant leakage on zero-reg keyword
amazon wholesale,"""amazon for business""",MX - Brand Phrase,Pure_Phrase,Phrase match (close variant),12,4,4.61,1.15,0,Close variant leakage on zero-reg keyword
cascos de seguridad,"""equipos de seguridad profesionales""",MX - Crafts,Professional Tools_Phrase,Phrase match (close variant),6,2,4.61,2.31,0,Close variant leakage on zero-reg keyword
proveedores de mayoreo en mexico,[mayorista mexico],MX - Generic,Core_Wholesalers_Exact,Exact match (close variant),4,3,4.6,1.53,0,Close variant leakage on zero-reg keyword
quansheng tk11,"""equipo de radio profesional""",MX - Electronics,Audio Components_Phrase,Phrase match (close variant),3,2,4.59,2.3,0,Close variant leakage on zero-reg keyword
mostradores para negocio,"""equipos para tiendas""",MX - Shops,Shops_Generic_Phrase,Phrase match (close variant),18,4,4.58,1.15,0,Close variant leakage on zero-reg keyword
freidora profesional,"""suministros para hostelería""",MX - Food,Generic_Phrase,Phrase match (close variant),6,2,4.57,2.29,0,Close variant leakage on zero-reg keyword
materiales para construcción precios,"""suministro de material de construcción""",MX - Crafts,Professional Tools_Procurement_Phrase,Phrase match (close variant),5,2,4.56,2.28,0,Close variant leakage on zero-reg keyword
gorras por mayoreo originales,"""venta mayorista de accesorios de moda""",MX - Shops,Shops_Wholesales_Accessories_Phrase,Phrase match (close variant),4,2,4.56,2.28,0,Close variant leakage on zero-reg keyword
donde puedo comprar cosmeticos por mayoreo,[productos de belleza al por mayor],MX - Beauty,Makeup_Wholesale_Exact,Exact match (close variant),8,2,4.54,2.27,0,Close variant leakage on zero-reg keyword
trituradoras de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),14,2,4.52,2.26,0,Close variant leakage on zero-reg keyword
trituradoras de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),14,2,4.52,2.26,0,Close variant leakage on zero-reg keyword
trituradoras de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),14,2,4.52,2.26,0,Close variant leakage on zero-reg keyword
platos de barro por mayoreo,"""platos al por mayor""",MX - Food,Plates_Wholesale_Phrase,Phrase match (close variant),9,3,4.47,1.49,0,Close variant leakage on zero-reg keyword
nupec mayoreo,"""venta al por mayor de alimentos para mascotas""",MX - Shops,Shops_Wholesales_Pet Shop_Phrase,Phrase match (close variant),21,3,4.39,1.46,0,Close variant leakage on zero-reg keyword
tazas blancas mayoreo,"""proveedores tazas""",MX - Food,Kitchen Tools_Suppliers_Phrase,Phrase match (close variant),9,3,4.36,1.45,0,Close variant leakage on zero-reg keyword
ventas de mayoreo,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),9,2,4.29,2.15,0,Close variant leakage on zero-reg keyword
precio de un extintor,"""suministro de extintores""",MX - Crafts,Professional Tools_Procurement_Phrase,Phrase match (close variant),2,2,4.24,2.12,0,Close variant leakage on zero-reg keyword
extintores precios,"""suministro de extintores""",MX - Crafts,Professional Tools_Procurement_Phrase,Phrase match (close variant),14,2,4.2,2.1,0,Close variant leakage on zero-reg keyword
compra de ropa al mayoreo,[mayoristas de prendas de vestir],MX - Shops,Shops_Wholesalers_Clothing_Exact,Exact match (close variant),2,2,4.18,2.09,0,Close variant leakage on zero-reg keyword
cuadernos a mayoreo,[cuadernos mayorista],MX - Office,Office Supplies_Wholesalers_Exact,Exact match (close variant),2,2,4.18,2.09,0,Close variant leakage on zero-reg keyword
libretas al mayoreo,[cuadernos mayorista],MX - Office,Office Supplies_Wholesalers_Exact,Exact match (close variant),9,3,4.18,1.39,0,Close variant leakage on zero-reg keyword
nutrapel mayoreo,"""mayorista de productos para el cabello""",MX - Beauty,Hair Styling_Wholesale_Phrase,Phrase match (close variant),4,2,4.16,2.08,0,Close variant leakage on zero-reg keyword
extractor de baleros,"""equipo para talleres""",MX - Automotive,Generic_Phrase,Phrase match (close variant),20,2,4.15,2.08,0,Close variant leakage on zero-reg keyword
usb mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),31,2,4.14,2.07,0,Close variant leakage on zero-reg keyword
premios deshidratados para perros mayoreo,"""venta al por mayor de alimentos para mascotas""",MX - Shops,Shops_Wholesales_Pet Shop_Phrase,Phrase match (close variant),6,2,4.1,2.05,0,Close variant leakage on zero-reg keyword
tiendas mayorista de maquillaje,[proveedor de maquillaje],MX - Beauty,Makeup_Supplier_Exact,Exact match (close variant),7,4,4.09,1.02,0,Close variant leakage on zero-reg keyword
ventiladores industriales,"""Proveedor de Ventilador""",MX - Crafts,Garden_Supplier_Phrase,Phrase match (close variant),19,2,4.09,2.05,0,Close variant leakage on zero-reg keyword
tazas mayoreo,"""proveedores tazas""",MX - Food,Kitchen Tools_Suppliers_Phrase,Phrase match (close variant),33,2,4.06,2.03,0,Close variant leakage on zero-reg keyword
ventas por mayoreo,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),4,2,4.05,2.03,0,Close variant leakage on zero-reg keyword
proveedores tenis g5,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),3,2,4.05,2.03,0,Close variant leakage on zero-reg keyword
memorias usb mayoreo economicas,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),7,2,4.04,2.02,0,Close variant leakage on zero-reg keyword
herramienta para mecánico,"""equipo para talleres""",MX - Automotive,Generic_Phrase,Phrase match (close variant),1,2,4.04,2.02,0,Close variant leakage on zero-reg keyword
hornos para panaderia,"""distribuidor de hornos""",MX - Crafts,Professional Tools_Distributor_Phrase,Phrase match (close variant),7,2,4.02,2.01,0,Close variant leakage on zero-reg keyword
mercancía para revender,"""compras para negocios""",MX - Generic,Enterprises_Buy_Phrase,Phrase match (close variant),2,2,4.02,2.01,0,Close variant leakage on zero-reg keyword
mayoreo papeleria,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),9,3,4.01,1.34,0,Close variant leakage on zero-reg keyword
ropa deportiva mayoreo,[ropa deportiva al mayoreo],MX - Apparel,Sportwear_Wholesales_Exact,Exact match (close variant),23,4,4.01,1.0,0,Close variant leakage on zero-reg keyword
uniformes empresariales,"""ropa servicio""",MX - Hospitality,Clothing_Phrase,Phrase match (close variant),8,2,4.01,2.01,0,Close variant leakage on zero-reg keyword
uniformes de limpieza,"""ropa servicio""",MX - Hospitality,Clothing_Phrase,Phrase match (close variant),6,2,3.95,1.98,0,Close variant leakage on zero-reg keyword
memorias usb economicas por mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),4,2,3.93,1.97,0,Close variant leakage on zero-reg keyword
distribuidor de papeleria al por mayor,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),5,2,3.88,1.94,0,Close variant leakage on zero-reg keyword
b2b business,"""ventas b2b""",MX - Generic,B2B_Enterprise_Phrase,Phrase match (close variant),5,2,3.86,1.93,0,Close variant leakage on zero-reg keyword
silla para oficina,[sillas oficina],MX - Office,Furniture_Exact,Exact match (close variant),80,2,3.84,1.92,0,Close variant leakage on zero-reg keyword
distribuidor de productos de limpieza,[mayoristas de artículos de limpieza],MX - Janitorial,Wholesalers_Exact,Exact match (close variant),11,2,3.79,1.9,0,Close variant leakage on zero-reg keyword
escritorio ejecutivo para oficina,[escritorio ejecutivo],MX - Office,Office Furniture_Exact,Exact match (close variant),14,3,3.79,1.26,0,Close variant leakage on zero-reg keyword
donde comprar articulos de limpieza por mayor,[mayoristas de artículos de limpieza],MX - Janitorial,Wholesalers_Exact,Exact match (close variant),4,2,3.76,1.88,0,Close variant leakage on zero-reg keyword
papelería al mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),2,3,3.74,1.25,0,Close variant leakage on zero-reg keyword
tijeras knipex electricista,"""herramientas manuales profesionales""",MX - Crafts,Hand Tools_Phrase,Phrase match (close variant),4,2,3.74,1.87,0,Close variant leakage on zero-reg keyword
amazon vendor,"""amazon for business""",MX - Brand Phrase,Pure_Phrase,Phrase match (close variant),15,2,3.73,1.87,0,Close variant leakage on zero-reg keyword
amazon business iniciar sesion,[amazon business prime login],MX - Brand Exact,Prime_Exact,Exact match (close variant),4,2,3.69,1.85,0,Close variant leakage on zero-reg keyword
airpods mayorista,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),5,2,3.69,1.85,0,Close variant leakage on zero-reg keyword
venta de usb al mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),1,2,3.6,1.8,0,Close variant leakage on zero-reg keyword
amazon b2b,"""ventas b2b""",MX - Generic,B2B_Enterprise_Phrase,Phrase match (close variant),3,2,3.58,1.79,0,Close variant leakage on zero-reg keyword
cosas para escritorio de oficina,[equipamiento de escritorio],MX - Office,Generic_Exact,Exact match (close variant),10,2,3.56,1.78,0,Close variant leakage on zero-reg keyword
amazon com mx factura,"""amazon com mx factura""",MX - Invoice AMZ,Invoice_Phrase,Exact match,4,2,3.55,1.78,0,Review — zero-reg keyword spend
cosas de oficina,[suministros oficina],MX - Office,Generic_Exact,Exact match (close variant),21,3,3.53,1.18,0,Close variant leakage on zero-reg keyword
www jmvillegas mx,"""proveedor equipamiento""",MX - Generic,Suppliers_Products_Phrase,Phrase match (close variant),8,2,3.52,1.76,0,Close variant leakage on zero-reg keyword
chalecos de seguridad,"""artículos para trabajadores""",MX - Crafts,Products_Phrase,Phrase match (close variant),41,3,3.52,1.17,0,Close variant leakage on zero-reg keyword
jbl mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),3,2,3.51,1.76,0,Close variant leakage on zero-reg keyword
ropa al mayoreo,[ropa para vender por mayoreo],MX - Apparel,Clothing_Exact,Exact match (close variant),9,3,3.46,1.15,0,Close variant leakage on zero-reg keyword
perfumes a mayoreo,[perfume al por mayor],MX - Beauty,Fragrance_Wholesale_Exact,Exact match (close variant),16,4,3.43,0.86,0,Close variant leakage on zero-reg keyword
llaveros mayoreo,[llaveros al por mayor],MX - Automotive,Exterior Accessories_Wholesale_Exact,Exact match (close variant),20,2,3.4,1.7,0,Close variant leakage on zero-reg keyword
llaveros por mayor,[llaveros al por mayor],MX - Automotive,Exterior Accessories_Wholesale_Exact,Exact match (close variant),1,2,3.4,1.7,0,Close variant leakage on zero-reg keyword
audífonos mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),7,2,3.36,1.68,0,Close variant leakage on zero-reg keyword
llaveros por mayoreo,[llaveros al por mayor],MX - Automotive,Exterior Accessories_Wholesale_Exact,Exact match (close variant),7,2,3.35,1.68,0,Close variant leakage on zero-reg keyword
muebles para punto de venta,"""mobiliario para tiendas""",MX - Shops,Shops_Furniture_Phrase,Phrase match (close variant),2,2,3.33,1.67,0,Close variant leakage on zero-reg keyword
mesas para negocio,"""mobiliario para tiendas""",MX - Shops,Shops_Furniture_Phrase,Phrase match (close variant),10,3,3.32,1.11,0,Close variant leakage on zero-reg keyword
proveedores de playeras,"""proveedores textiles""",MX - Materials,Materials_Suppliers_Textiles_Phrase,Phrase match (close variant),7,2,3.3,1.65,0,Close variant leakage on zero-reg keyword
shampoo por mayoreo,"""mayorista de productos para el cabello""",MX - Beauty,Hair Styling_Wholesale_Phrase,Phrase match (close variant),2,2,3.3,1.65,0,Close variant leakage on zero-reg keyword
café a granel,[café a granel],MX - Food,Food_Bulk_Exact,Exact match,2,2,3.26,1.63,0,Review — zero-reg keyword spend
camisas uniforme hombre,"""ropa industrial""",MX - Industrial,Clothing_Phrase,Phrase match (close variant),1,2,3.26,1.63,0,Close variant leakage on zero-reg keyword
productos mayoreo,[artículos al por mayor],MX - Generic,Wholesales_Products_Exact,Exact match (close variant),18,3,3.25,1.08,0,Close variant leakage on zero-reg keyword
venta de mayoreo,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),13,3,3.25,1.08,0,Close variant leakage on zero-reg keyword
escritorio ejecutivo,[escritorio ejecutivo],MX - Office,Office Furniture_Exact,Exact match,50,2,3.24,1.62,0,Review — zero-reg keyword spend
horno pauna,"""hornos eléctricos profesionales""",MX - Crafts,Garden_Phrase,Phrase match (close variant),2,2,3.22,1.61,0,Close variant leakage on zero-reg keyword
proveedores de ropa de marca original,"""ropa de marca""",MX - Apparel,Clothing_Phrase,Phrase match,13,3,3.19,1.06,0,Review — zero-reg keyword spend
precio extintor 6 kg,"""suministro de extintores""",MX - Crafts,Professional Tools_Procurement_Phrase,Phrase match (close variant),3,2,3.18,1.59,0,Close variant leakage on zero-reg keyword
donde puedo comprar tenis originales por mayoreo,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),4,2,3.17,1.59,0,Close variant leakage on zero-reg keyword
bolsas tote bag mayoreo,"""bolsas de tela al por mayor""",MX - Apparel,Accessories_Wholesales_Phrase,Phrase match (close variant),6,2,3.1,1.55,0,Close variant leakage on zero-reg keyword
máquina de hielo industrial 1 tonelada,"""máquinas de hielo profesionales""",MX - Food,Restaurant_Phrase,Phrase match (close variant),2,2,3.1,1.55,0,Close variant leakage on zero-reg keyword
productos para revender directo de fábrica,"""compras para negocios""",MX - Generic,Enterprises_Buy_Phrase,Phrase match (close variant),9,4,3.08,0.77,0,Close variant leakage on zero-reg keyword
playeras lisas para hombre mayoreo,"""camisetas para hombre al por mayor""",MX - Apparel,Tops Men_Wholesales_Phrase,Phrase match (close variant),3,2,3.03,1.52,0,Close variant leakage on zero-reg keyword
cosas de papeleria,[material papelería],MX - Office,Products_Exact,Exact match (close variant),18,2,3.02,1.51,0,Close variant leakage on zero-reg keyword
airpods en mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),3,2,3.02,1.51,0,Close variant leakage on zero-reg keyword
